---
Bogennummer: 14910
Ort: Osthofen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	Jm Winter fliehe die druckne Blärrer in dr Luft erum.
WS02	Es hert glei uff se schneije, dann wärd's Wärrer besser.
WS03	Du Kohle in de Owwe, daß die Millich glei anfängt se koche.
WS04	Der gure alte Mann is mit dem Gaul dorchs Eis gebroche unn ins Wasser gschlahe.
WS05	Er is vor vier orrer sechs Woche g'storbe.
WS06	D's Feier war so haas, die Kuche sinn unne ganz schwatz g'brennt.
WS07	Er ißt die Eier immer ohne Salz unn Pewr.
WS08	Mei Füß dun mrr unne so weh, ich glab, ich hunn se dorch g'loffe.
WS09	Ich binn bei drr Fraa g'west unn habrr g'saat unn do hott se gsaat, sie wolls ehrer Dochter saa.
WS10	Ich wills a nett mee wirre dun.
WS11	Ich schlah drr gleih mit'm Kochlöffel uff die Ohre, du Aff!
WS12	Wu geschte hii, ich geh mit drr!
WS13	S'inn schlechte Zeite.
WS14	Mei lieb Kind, bleib do unne steh, die bese Gens beise dich dot.
WS15	Du hoscht heit fleißig glernt, du bischt artig gwest, du derfst früher ham geh als die annere.
WS16	Du bischt noch nett groß g'nunk for e Flasch Wei ausz'trinke, d'muscht noch e Weilche wackse unn greser wer[re].
WS17	Geh, sei so gut unn sah's deiner Schweschter, sie soll deiner Mutter ihre Klarer fertig mache unn mit drr Bürscht ausbärschte.
WS18	hescht dn'[e] gekennt, dann wärsch annerst kumme unn's deht besser steh mirrm.
WS19	Wer hott mrr meih Kurb mit Flasch gstohle?
WS20	Er hot so g'doh als henn s'nn zum Dresche bschtellt, sie henn's awrr selber g'dah.
WS21	Wem h[o]rre die neue Gschichte verzehlt?
WS22	Mrr muß laut kreische, sunscht verstehrr [a]m nett.
WS23	Mrr sinn mid unn henn dorscht.
WS24	Als mrr geschtern Owend ham kumme sein, henn se schun im Bett g'lehe unn henn fescht gschlofe.
WS25	Der Schnee is heunt Nacht bei uns leihe blibbe, awr heit Morje is rr vergang[e].
WS26	hinner unserm haus stehe drei schene Ebbelbämchr mit rore Ebbelcher.
WS27	Kenn'rr nett noch'n Ablick uff uns warte, dann geh'mrr mit eich.
WS28	Ehr därfen nett so Kinnereie dreibe.
WS29	Unser Berge sinn nett so hoch, eire sinn vil hücher.
WS30	Wieviel Punt Wurscht unn wieviel Brod woll'nrr hawwe?
WS31	Ich verschteh eich nett, ehr mißt e bische lautrr redde.
WS32	henn‿rr‿nett e Stickche weiße Saf uff mei'm Disch gefunne for mich
WS33	Sei' Brurer will sich zwaa schöne neie haiser in eiern Gaarte baue.
WS34	Des Wort kimt'm vu'm herze.
WS35	Des war recht vun ihne.
WS36	Was sitze do for Vögelcher uff d'm Mäuerche?
WS37	Die Baure hatte finf Ochse, nei Kih, zwelf Schefcher vor des Dorf g'bracht unn henn se verkaafe wolle.
WS38	Die Leid sinn heit all draus uff'm Feld unn mehe.
WS39	Geh nor, der brau hund dud'r nix.
WS40	Ich sein heit mit dene Leid do hinne über die Wies in's Korn g'fahre.
