---
Bogennummer: 10053
Ort: Oberkail
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Am Wanta flegen de drei Bläda an dr Loft erom.
WS02	Et hert gleich ob ze schnieen, da get et Wäda erom beßer.
WS03	Do Kohlen andn Owen, dat de Melech schwenn ze kochen ofängt.
WS04	Dä goden alen Mahn as mat den Ped durch dn Eis gebroch un an das kal Waaßer gefalen.
WS05	N' as vir ver oder sächs Woche gestorwen.
WS06	Et Feier wor ze worem, de Kuchen sei jo ennen gaanz schwaz bebrant.
WS07	Hen eßt de Eier emmer ohne Salz u Pefer.
WS08	De Fiß do mar sir wi, eich glewen, eich honn se durich gelof.
WS09	Eich wor bei der Fra un honnert gesot, un sei hot gesot, sei diet et och hirer Dochder son.
WS10	Eich well et och net mie erom don.
WS11	Eich schlin deich gleich matt dm Kocvhläfel um de Uhren, dau Of.
WS12	Wor gehst dau hien, solle mar matt dr gon.
WS13	Et sei schlecht Zeiden.
WS14	Mei lief Kand bleif hei enne stohn, de bis Gänse beißen deich dout.
WS15	Dau hoß haut am meste gelirt und bas artig gewes, dau dorfs eschter hem gohn wie de Aneren.
WS16	Dau bas noch net gruß genog om en Flasch Wein auszetranken, dau moß noch en Än woßen un grußer gen.
WS17	Gie sei su gut n so deiner Schwester se soll de Kleder fir dei Motter fedig nihen, un matt dr Biescht renglich machen.
WS18	Hätzt dau e kant, dä wäret anisch kuhn, un et diet beßer om e eston.
WS19	Wän hott mer meine Korf matt Flesch gestohlen.
WS20	He mug esu, als hätten sei Han z[ă]m Dräschen bestalt, sei honn et awer selwer gedun.
WS21	Wäm hott hen di nei Geschicht bezelt.
WS22	Ma muß hot schreien, sos besteht n os net.
WS23	Ma sei mid un hon Doscht.
WS24	Wie mr Gestrowend zrekkumen, do hon die Anern alt al am Bät gelähen un woren fest om schlofen.
WS25	De Schnie as dies Nocht bei us leie bliewen, ewer de Morgen aße geschmolt.
WS26	Hanner usem Haus stin drei schiner Apelbemcher matt ruden Aepelcher.
WS27	Kennt ihr net noch en Ogeblack ob us woden, da gie mer matt ich.
WS28	Dir dorft net esuen Kannereien treiwen.
WS29	Us Berg sein net sehr hieh, eier sei viel hieher.
WS30	Wie viel Pund Wuscht un wie viel Brud wellder honn.
WS31	Eich b estin eich net, dir mot ewennig hoder schwäzen.
WS32	Hoddr ke Steck weiß Sef für meich ob meim Desch fund.
WS33	Sei Broder well sich zwei schiner neier Heiser bauen.
WS34	Dat Wod kum m vom Herz.
WS35	Dat wor reecht von ich.
WS36	Wat setzen elo fir Vigelchen ob dm Meierchen.
WS37	De Bauern haden fenef Ochsen, n nein Keh n zwelef Schäfcher fir et Dorf brogt, die wollten se bekefen.
WS38	Dei Leit sein haut al de baußen ob dm Fell un miehen.
WS39	Gie nummen, de braunen Hund ded der neist
WS40	Eich sei matt de Leiden lo hannen iwer de Wies an et Kohr gefohren.
