---
Bogennummer: 36065
Ort: Hohrodberg
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wieter fliège die truckene Blätter i der Luft erum.
WS02	s’ hört glich uf ze schneeje, dernu wurd’s Wätter besser.
WS03	Thüe Kohle i de Ofe, daß die Milich bol kocht.
WS04	Der güet alt Mann esch mit em Rößle durchs Is gebroche un esch is kalte Wasser gfalle.
WS05	Er esch vor vier eder sechs Wuche gschtrowe.
WS06	’s’ Fier esch ze stark, die Küeche se ju ingene gaz schwarz agebrennt.
WS07	Er ißt die Eier immer une Salz und Pfäffer.
WS08	D’ Fieß thiemer famos wiè, i gloi i hase durch geloffe. 
WS09	I be bi der Froi gse un has ner gséit un sie het gséit, se wells o ihrer Tochter sage.
WS10	I wells o nemm thüe.
WS11	I schlader glich der Kochlöffel um die Ohre rum dü Aff.
WS12	Wüe giesch an̄e, selle mer met der kum̄e.
WS13	Sie schlachte Zitte.
WS14	Mi lieb King bli do hidene stieh, die biese Gans bisse di zu tud.
WS15	Dü hesch het am mierschte geliert, un de bisch ardlig gsi, du derfsch früjer héim as die adere.
WS16	De bisch na net gruß genüe fer e Fläschle Wie zu trine, de muesch na wahse un grieser were.
WS17	Gang un sei so güet un sahs diner Schweschter, se sell die Kleider für die Müeter ferig naije un mit der Burscht süfer mache.
WS18	Hätsch dü ne gekennt, dernu wärs aders kum̄e uns gat besser um ne stiehe.
WS19	Wer het mer mi Korb voll Fleisch gemüßt?
WS20	Er het gethüe, as wie wenn se ne zum Dresche bschtellt hätte, aber sie has salwer gemacht.
WS21	Wenn het er die noi Gschicht verzählt?
WS22	Wer mueß sterk brielle, sus verschtiet er eme net.
WS23	Mer se mied un han Durscht.
WS24	Wiemer näecht héim kum̄e, sie die adere schu im Bett geleie und ha fescht gschlufe.
WS25	Der Schnie isch die Nacht bliewe leje, awer de Morje escher weg gange.
WS26	Hinge a üserem Hüs schtiehn drei schiene Öpfelbäumler mit rueti Öpfler.
WS27	Kennener net ne Oigeblekle uf mi warte, mer mer kum̄e dernu mitnie.
WS28	Er derfe ke so Kinderdings triewe.
WS29	Useri Beri sie net so hoch eiere sie viel höcher.
WS30	Wie viel Pfund Werst un Brut wei er ha.
WS31	Ich verstang ne net, er mien e bessele stärker rede.
WS32	Hei er ke Stückli wißi Seif fr mich uf mim Tisch gfunge.
WS33	Siner Brüeder wiell fo sich zwei nui schieni Hieser e euerem Garte boi.
WS34	Das Wort ieschem vom Härze kumme.
WS35	Das esch recht gse vo em.
WS36	Was setze du ver Veijeler owene ufem Mierle.
WS37	Die Büre hei fenf Ochse, nien Kieh un zwölf Schäfeler vors Dorf gebrocht un hes se welle verkoife.
WS38	Die Lüt se het alle düsse uf em Feld un meije.
WS39	Gang nume, der brün Hund macht der nigs.
WS40	I bie mit de Lit du hingene ewer die Matt is Korn gfahre.
