---
Bogennummer: '44597'
Ort: Wellhausen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.576127'
...
WS1	Im Winter flüget die trochne Bletter i der Luft ume.
WS2	Es hört jetz denn uf schneie, denn wirds Wetter wider besser.
WS3	Due Chole in Ofe, daß Milech bald afangt choche.
WS4	Dä guet alt Maa isch mit em Roß durs Iis broch e und is chalt Wasser gfalle.
WS5	Er isch vor viër oder sechs Wuche gstorbe.
WS6	s' Für isch z'starch gsi, d'Tüne sind jo une ganz schwarz.
WS7	Er isst d' Eier alewil oni Salz u. Pfeffer.
WS8	D' Füeß tüend mer fest weh, i glaub, i ha offni Füeß.
WS9	Ich bi bi d'r Frau gsi und han er es gseit, und sie het gseit, sie wells au ihrer Töchter säge.
WS10	Ich will's nümme tue.
WS11	Ich schlag dr de Löffel um d'Ohre umme, du Aff du !
WS12	Wo ane gohst, söled mr mit dr goh ?
WS13	's sind schlechti Ziite !
WS14	Liebs Chind, blib do unne stoh, die böse Gäns bißet di tod.
WS15	Du hest hüt am meiste glehrt und bist brav gsi, du darst früener hei goh als die andere.
WS16	Du bist no nid groß gnueg, um e Fläsche Wii usztrinke, du muest zerst no e chli wachse und größer werde.
WS17	Gang, bis so guet und säg diner Schwöster, sie söll d'Kleider für eui Mueter fertig neie und mit de Bürste suber mache.
WS18	Wenn du en kennt hettist, wärs anders cho und es ständ besser umen.
WS19	Wer het mer de Chorb mit Fleisch g'stole ?
WS20	Er hät so tue, als öb sie nen zum Drösche bstellt heted, sie hend's aber selber tue.
WS21	Wem het er die neu Gschicht verzellt ?
WS22	Me mueß lut schreie, sus verstoht er üs nid.
WS23	Mier sind müed und hend Durst.
WS24	Wo mer gest e'Obed hei cho sind, do sind die andere scho im Bett gsi und hend fest g'schlofe.
WS25	De Schnee ist über d'Nacht lige blibe, aber hüt e morge isch er vergange.
WS26	Hinder üsem Huus stönd drei schöni Öpfelbömm mit schöne Öpfeli.
WS27	Chöned er nid no e chli uf üs warte, denn gömm mer mit eu.
WS28	Dr dörfed nid derigi Dummheite mache.
WS29	Üseri Berg sid nid so hoch, eueri sind vill höcher.
WS30	Wie vill Pfund Wurst und wie vill Brot wend er ?
WS31	Ich verstand i nid, ir müend e chli luter rede.
WS32	Hend er kei Stückli Seife von mier uf mim Tisch gfunde ?
WS33	Sin Brüeder will zwei schöni neui Hüser i euem Garte baue.
WS34	Das ist em vo Herze cho.
WS35	Da ist recht gsi vo Ine.
WS36	Wa sitzed do für Vögeli uf dem Mürli obe ?
WS37	D'Bure hend fünf Oxe u. nü Chüeh u. zwölf Schöfli vors Dorf brocht, die send si wele verchaufe.
WS38	D' Lüt sind hüt ali uf em Feld usse u. meied.
WS39	Gang nu, de bru Hund tuet d'r nüt.
WS40	J bi mit dene Lüte do hinne über d'Wis is Chorn gfahre.
