---
Bogennummer: X_18_Goesdorf_67
Ort: Goesdorf
Gid: 143053
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-08-01 12:59:20.363364
Änderungsdatum: 2026-08-01 12:59:20.363364
Satzversion: 1
...
WS1	Am Wantər fléiən déi drəχə B̂lädər durx Lūxt ərəm.
WS2	Et héiərt gléix op ze schnèggdən, da gət d'Wédər ərəm bässər.
WS3	Dũ Kuölən an dən Uöwən, datt déi Mələχ bāl ̆ ufəngt zəe kaχən.
WS4	Dä guddən ãlə Mān ass matt dəm Pérd durəχ d'Eis gəbrax, ann ann dāt kālt Wāsser gəfallən.
WS5	En ass fir véər odər säcks Woxə geschtuörwən.
WS6	D'Féiər war zə schtārk, d'Köuxə sənn jo ənnən ganz schwãrz gəbrannt.
WS7	En əsst d'Är əmmər onni Salz a Päfərkräut.
WS8	D'Féis du mər ganz wéi, əχ gläwən əχ hunn sə durxgəlāf,
WS9	Ex sə bai dər Fra gəwiést ann ex hunn hir ət gəsot, a sǐ sot, sǐ géif ət ox hirrər Duöxtər sōn.
WS10	Ex wəll ət ox net ərəm mãchə.
WS11	Ex schlǒn dəχ gläix matt dəm Kaxläffəl əm d'Öurən, du Āf.
WS12	Wöər gäst tə hənn, sollə mər matt dər gōn?
WS13	Et sə schläxt Zéitən.
WS14	Mé̂ngt léift Kǎnd, blaif hai ənnə stōn, dé béss Gänsə béis'sən dəχ döut.
WS15	Dū hås hackt am mäs'tə gəleiərt, ann du bass artəg gəwéist, dū duörf's méi fréi häm gōn əwéi déi ānər.
WS16	Dū bass nax nət grōuss gənōu fir éng Flēsch Wéin zə drənkən, du muss d'éischt nax wuossən a méi grōuss ginn.
WS17	Géi, səf esôu gutt a so zu dèngər Səstər, si soll d'Klädər firr är Mamm férdəχ bicksən a matt dər Bǐscht rèngləχ mān.
WS18	Hässt du hä kant, da wir ət annəschtər ganggən, ann ət géif bässər matt himm schtōn.
WS19	Wän ho̊t mir méi Kuörəf matt Fläsch gehuôlt?
WS20	Hän huot gədunn, wéi wann sən ə bəstàllt hättən fir zə drēschən, si hunn ət əwər sêlwər gədunn.
WS21	Wiém huót hän déi nai Gəschixt gəzélt?
WS22	Et muss än hārt jäitzən, soss vərschtät ən éis net.
WS23	Mir sə mickt ann dūschtərix.
WS24	Wéi mər gəstər nowənd ərəm köumən, du löuxən déi annər əwəll lank amm Bätt a warə fés'st əntschlôf.
WS25	Də Schnéi ass hənt bai äis laiə bliwən, owər hackt də Muörjən, ass ə gəschmolz.
WS26	Hannərt aisəm Hauss schtinn dräi schén Äppəlbämərxən matt röudən Äppələrxən.
WS27	Kont dər nət nax ən Abləkxən op äis wardən, da gǐ mər matt äx.
WS28	Dir duörft kèng əsöu əng Kǎnnərraiən māχən.
WS29	Äis Biérgər sə nət ganz héi, är sə fill mé héi.
WS30	Wifill Pont Wūscht a wivill Bröutt wəllt dər hunn?
WS31	Ex vərschtinn äx nət, dir mus'st ə bəssə mé hārt schwätzən.
WS32	Håt dər kèngt Sstəkəχən wéis Säf firr mäx op méngəm Désch fōnd?
WS33	Séi Brugdər wèllt səχ zwä schéi nai Haisər an ärəm Gard bauən.
WS34	Dāt Wuǒrt köum him fumm Härz.
WS35	Dat war räxt funn hinnən.
WS36	Wāt firr Fillərxən sətzən do op də́r Maiərxən?
WS37	D'Bauərn hātən fènəf Uösən ann ninng Kéi ann zwéləf Schéfərxən firun Duorəf bråxt, déi wōltən sə vərkāfən.
WS38	D'Le̊ggt sən hackt all do bäussən op dəm Felld ann sə méinən.
WS39	Géi nəmmən, dä brungən Hond dät dər Näischt.
WS40	Ex sə matt də Le̊ggdən do hannən iwər d'Wiss an Kuärə gəfaoren.
