---
Bogennummer: 14746
Ort: Liersberg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Am Wanter flöihen dö tröcken Blödder an der Loft röm.
WS02	Et hirt glöich of zö schnechten da göt das Wödder näs besser.
WS03	Döi Kohlen an dn Ofen dat dö Mölich glöich kogt.
WS04	De gouten alen Man as mat seim Perd dorch et Eus gebrog un en dat Waßer gefal.
WS05	En as fir vöier auder sechs Wochen gesterven.
WS06	Dat Feuer war zö warm, dö Kouchen sen jo önnen ganz schworz gebrant.
WS07	Hön ößt dä Är ömmer ohne Salz on Pefer.
WS08	Dö Föiß dir mär söier wöi öch glöven öch hun se dorch gelaf.
WS09	Öch sen beu der Fra gewest un hun et hir gesot, on söi sot, se döt et och hirem Medchen son.
WS10	Öch wöllt et och nöt möi nach äs don!
WS11	Öch schlin döch glöich mat döm Kogläfel iwer dö Ouern, dou Af!
WS12	Wou gäst dou hin, solle mir mat dir gon?
WS13	Et sön schlecht Zeuten!
WS14	Möi löif Kant bleif hei önnen stohn, de böis Gänsen beußen deuch dout.
WS15	Dou hoß haut am mesten geliert un de baß brav gewest, dou dörfs öier häm gon, wöi döi annern.
WS16	Dou baß nach nöt grouß genoug fir än Flasch Wöin ze trönken, dou muß zu rischt nach än Änn woßen un gröißer gin.
WS17	Göi, sei sou gout u so deiner Schwester söi soll de Klöder fir är Mam firdig böitzen un mat der Böscht sauwer mahchen.
WS18	Hättst dou hön kant, da wir et anischter kom, un et dit besser öm hö stohn.
WS19	Wön hot mir möin Karf mat Fläsch gestohl?
WS20	Hon dot sou, als hätten söi hön zoum Dräschen bestalt! söi hun et äver sälver gemat.
WS21	Wöm hot hön döi nei Geschicht erzehlt?
WS22	Ma muß hart jeutzen, sos verstäht hön is not.
WS23	Mir sön möid un sön doschterich.
WS24	Wöi mir gester Ovend zreck kom sön, dou hun döi Annern schun am Bät gelehn un woren fest um schlofen.
WS25	De Schnöi as dis Nohd beu is leihen bliven, awer haut Margen as hön verschmold.
WS26	Hanner ißem Haus stin dreu schöin Apelböm mat rouden Äpeln.
WS27	Könn där nöt nach n Ablöck ob is worden, da gi mer mat ich.
WS28	Dir dörft nöt souen Kannereien treiven.
WS29	Öis Berg sön nöt sou höich, är se vill höicher.
WS30	Wöi vill Pont Wuscht un wöi vill Brout woll där hun?
WS31	Öich verstin öich nöt, dir mußt ö böschen harter schwätzen.
WS32	Ho där kän Stöckelchen weuß Säf fir möich of meim Dösch font?
WS33	Söi Brouder wöllt sech zwä schöiner neier Heiser an söin Gort bauen.
WS34	Dat Wurt as him vum Herzen kom!
WS35	Dat wor recht vun hinnen!
WS36	Wat sötzen do firen Vigelcher oven of dem Meierchen?
WS37	Döi Bauern hun fönef Ochsen un nein Köih un zwölef Schäfcher für un dat Derf brot, döi wollten se verkäfen
WS38	De Leut sen haut all de baußen offem Feld um möien.
WS39	Göi nömmen, de braunen Hond dät där neuscht.
WS40	Euch sön mat de Leuden lo hannen iwer de Wiß ant Kur gefuhr.
