---
Bogennummer: 26485
Ort: Erdbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wenter flöi döi treue Blärer en d’r Loft rim.
WS02	Es hört gleich of z’schneie, da werd dös Werrer wörer besser.
WS03	Dou Kohl’n en Owe , doß d’ Melch bal oh z’ koche fingt.
WS04	De goure ale Mann es met d’m Gaul durch’s Eis gebroche en enn dös kalle Wasser g’fall’n.
WS05	Er es ver vöier oar sechs Wuche g’storwe.
WS06	Dös Fauer worr z’ haaß, d’Kuche sei jo onne ganz schworz g’brannt.
WS07	Er ößt d’Ajer emmer ohne Saalz en Peffer.
WS08	D’ Foiß dou mer sehr wieh, aich glawe, aich hoh se durch g’loafe.
WS09	 Aich sei bei d’r Fraa g’weßt, en hoh es ehr g’sat, en se sat, se wöll es ehrem Madje ach sa.
WS10	Aich will’s ach net mieh werre dou!
WS11	Aich schloh d’r gleich met d’m Kochleffel im d’Uhrn, dau Aff!
WS12	Wuh gihst dau hie, soll’n mer met d’r gieh?
WS13	Es sei schlächte Zeire!
WS14	Mei lewes Kend bleib he onne stieh, dej bieße Gense beiße daich dout.
WS15	Dau host hau om maste g’lernt, en seist ordlich geweßt, dau derfst fröier noh Haus gieh, als d’ Annern.
WS16	Dau seist noch net gruß genonk, im ah Flasch Wei aus z’trenke, dau moußt erscht noch ah Ende wohse en grießer wern.
WS17	Gieh sei su gout en sa deiner Schwäster, se soll d’Klarer fer au Moirer förtig näh en met d’r Börscht ra mache.
WS18	Häst dau en g’kannt, da wärsch anerscht g’komme en es thät besser em en stieh.
WS19	Wer hot mer mein Korb met Flarsch g’stohl’n?
WS20	Er daut su, als häre se en zoum Dresche b’schtallt, se hoh et ower selber g’do.
WS21	Wiem ho’re de nau G’schicht erzallt?
WS22	M’r muß lau schreie, sost verschtieht ’r us net.
WS23	Mer sei moi en hoh Durscht.
WS24	Als mer gestern Owed z’reck kome, dou loge d’Annern schu em Bett en worn fest om schlofe.
WS25	D’r Schnej es d’Nocht bei us leihe g’bliewe, ower dörre Morge er’re g’schmolze.
WS26	Henner usem Haus stieh drei schiene Äpelbämcher met ruhre Äpelcher.
WS27	Konnt ehr net noch ah Agebleckche worde, de gieh mehr met uch.
WS28	Ehr derft net solche Kenereie treiwe.
WS29	Us Beerge sei net su huck, au sei vill hieher.
WS30	We vill Pond Wurscht en we vill Brud wollt ehr hoh?
WS31	Aich verstieh uch nett, ehr moußt ah bische laurer schwätze.
WS32	Hor ehr ka Steckche weiße Soaf fer maich of mei’m Tesch g’fonne?
WS33	Sei Brourer will sich zwa schiene naue Häuser en auem Gorte baue.
WS34	Dos Wort kom em vo Herze.
WS35	Dos wor recht vo enn.
WS36	Wos setze do fer Viehelcher owe of dem Mäuerche?
WS37	De Bauern harre fünf Ochse neu Koih en zwölf Schof fer d’s Dorf g’brocht, dej wollte se v’rkafe.
WS38	De Leu sei hau all dauße of d’m Feld en mäh.
WS39	Gieh nur, d’r brau Hond dout d’r naut.
WS40	Aich sei met d’Leu do henne ewer dej Wes’ ens Korn g’fohr’n.
