---
Bogennummer: II_01_Abweiler_282
Ort: Abweiler
Gid: 143415
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2026-07-11 19:55:58.437254
Änderungsdatum: 2026-07-11 19:55:58.437254
Satzversion: 1
...
WS1	Am Wãũntər fle'ən de' dreχən Bliedər an dər Lũt ərəm.
WS2	ət he'ərt gleich op zə schneiən, da gət d'Wiedər ərəm bèssər.
WS3	Dong Kuələn an dən Uəwən, dass d'Məlləχ gleich ufènkt ze kaxən.
WS4	De' guddən alə Mãũn ass mam Pärd duəχ d'Eis gebrax an an dat kalt Wãsser gefãũl.
WS5	ən ass vir ve'ər oder sèx Woxən gəschtuəwən.
WS6	d'Feiər war ze schtoak, d'Kuxən si jo ənən gãũnz schwoarz gebrãũnt.
WS7	ən əscht d'Äər əmər o'ni Saulz a Pèffər
WS8	d'Fèss dongə mər se'ər wé, eχ gläwən, eχ hu se duəχgəlōf.
WS9	əχ si bei dər Fro gewiescht, an hun hir ət gəsot, an si sot si wélt ət oxhirər Duəχtər soən.
WS10	əχ wəll ət ox nət me' ərəm dongən.
WS11	əχ schloən deχ gleich mat dəm kaxlèffəl əm d'Oərən, du Āf.
WS12	Wuər gäscht də hin, sollə mər mat goən?
WS13	ət si schleχ̀t Zeiten.
WS14	Mei léft Kãũnd, bleif hei ənə schtoən, dé bé s Gäns beissen dəχ do't.
WS15	Du huəscht haut am mäschden gəle'ərt a bascht oartleχ gəwiəscht, du doarfscht e'schtər häm goən we' de' aner.
WS16	Du bascht nax nət gro'ss gənux, fir əng Flèsch Wein auszədrənken. Du muscht ere'scht nax èppes wuəssən a mé gro'ss gin.
WS17	Ge' se' əso' gutt a so dengər Schwestər, si soll d'Kläder fir är Mamm färdəχ bitzən a mat dər Bīscht règleχ māxən.
WS18	Hätscht du ə kãũnt! da wirət ānəschdər kōm, an d'ge'f bèssər əm ə ston.
WS19	Wiən huət mər mei Kuəf mam [Fleesch] gəstuəl?
WS20	ən huət əso' gəmāt, wè wa sən ən zum Dräschen be'stãũlt hättən, sə hunət owər sèlwər gemā.
WS21	Wiəm huət ən de' nei Gəschiχt ərziəlt?
WS22	Muss än hoat jeitzən, soss vərstät èn en nət.
WS23	Mir si mitt an hun Dūscht.
WS24	We' mər gəschtər Nowənd ərəm ko'men, du lo'gən de' āner schonn am Bètt a wārən fèst um schlōfən.
WS25	Də Schne' as dəs Nuət bei eis leiə bliwən, awər haut də Muerən ass ə gəschmōlt.
WS26	Hannər eisəm Hăus schtinn drei sche'nər Äppəlbämərschər matt ro'dən Äppəlχər.
WS27	Kənn dir nət nax e we'nəg op eis woardən, da gi mər mat äχ.
WS28	Dir därft kèng əso' Kannəreiən dreiwən.
WS29	Eis Biəg si nət gãũnz he'χ, är si vill me' he'χ.
WS30	Wivill Pond Zosiss a wivill Bro't wəll dər hun?
WS31	əχ vərschtinn äχ nət, dir muscht ə wə'nəg mə' hoat schwätzən.
WS32	Hu dər kä Schtəkəlχə weiss Sǟf fir meχ op mengəm Desch fōnt?
WS33	Sei Brudər wəlt səχ zwä schə'nər neiər Heisər an ärem Goat bauən.
WS34	Dāt Wuət ko'm əm vun Härzən.
WS35	Dāt wār sche' vun iech.
WS36	Wāt sətzən do fir Välərχər uəwən op dər Meiərχən?
WS37	D'Bauərən hātən fənnəf Oksən an nèng Ke' an zwiələf Schéwərχər virun d'Duəf bruət, de' woltən sə verkōfən.
WS38	D'Leit sinn hăut all dobaussən op dəm Fèld a mé'ən.
WS39	Gé nəmmən, de' brongən Hōnt dät dər neischt.
WS40	əχ si mat də Leit do hannen iwər d'Wĭss an d'Koar gəfuər.
